source,target,weight
"Claude Tu","Khoa Hoc Claude",4
"Claude Tu Claude","Hoc Claude Tu",4
"Claude Tu Claude","Khoa Hoc Claude",4
"Claude giúp","Claude giúp Ban",4
"Claude giúp","giúp Ban",4
"Claude giúp Ban","giúp Ban",4
"Co-work Series","Prompt",4
"Hoc Claude","Hoc Claude Tu",4
"Hoc Claude Tu","Khoa Hoc",4
"Bai Khoa","Claude Tu",3
"Bai Khoa","Claude Tu Claude",3
"Bai Khoa","Hoc Claude Tu",3
"Bai Khoa","Tu Claude",3
"Bai Khoa Hoc","Claude Tu",3
"Bai Khoa Hoc","Tu Claude",3
"Claude","Ket Qua",3
"Claude","Thong Tin",3
"Claude","Tom Tat",3
"Claude","Tu Claude",3
"Claude","Workflow",3
"Claude","Xu hướng",3
"Claude","hiệu Qua",3
"Claude","lập kế",3
"Claude","lập kế hoạch",3
"Claude","thực tế",3
"Claude Co-work","kế hoạch",3
"Claude Co-work Series","kế hoạch",3
"Claude Tu","Claude Tu Claude",3
"Claude Tu","Tu Claude",3
"Claude Tu Claude","Hoc Claude",3
"Claude Tu Claude","Khoa Hoc",3
"Claude Tu Claude","Tu Claude",3
"Co-work Series","dữ liệu",3
"Co-work Series Claude","Prompt",3
"Co-work Series Claude","dữ liệu",3
"Code","dữ liệu",3
"Hoc Claude","Tu Claude",3
"Hoc Claude Tu","Tu Claude",3
"Khoa Hoc","Tu Claude",3
"Khoa Hoc Claude","Tu Claude",3
"Plan","kế hoạch",3
"Prompt","Series Claude",3
"Prompt","giúp Ban",3
"Series Claude","dữ liệu",3
"Testing","giúp Ban",3
"Thing Tin","Thong Tin",3
"kế hoạch","lập kế",3
"kế hoạch","lập kế hoạch",3
"kế hoạch","thời Gian",3
"lập kế","lập kế hoạch",3
"API","Claude",2
"API","Claude Code",2
"API","Claude Code Co-work",2
"API","Co-work Series",2
"API","Co-work Series Claude",2
"API","Code",2
"API","Series Claude",2
"Application","Claude",2
"Bai Khoa Hoc","Testing",2
"Ban Lam","Claude",2
"Ban Lam","Claude Co-work",2
"Ban Lam","Claude Co-work Series",2
"Ban Lam","Co-work Series",2
"Ban Lam","Co-work Series Claude",2
"Ban Lam","Series Claude",2
"Ban Lam","giúp Ban",2
"Claude","Git",2
"Claude","Hoan Thien",2
"Claude","Phin tích",2
"Claude","bố cục",2
"Claude","cấu trúc",2
"Claude","giải Thich",2
"Claude","giải pháp",2
"Claude","khách Hang",2
"Claude","khách Hing",2
"Claude","khách hàng",2
"Claude","thuyết phục",2
"Claude","viết nội",2
"Claude Co-work","Content",2
"Claude Co-work","dữ liệu",2
"Claude Co-work","giúp Ban",2
"Claude Co-work Series","Workflow",2
"Claude Co-work Series","giúp Ban",2
"Claude Co-work Series","kết quả",2
"Claude Code","dữ liệu",2
"Claude Code Co-work","dữ liệu",2
"Claude Tu Claude","Testing",2
"Claude giúp","Git",2
"Claude giúp","Prompt",2
"Claude giúp Ban","Git",2
"Claude giúp Ban","Prompt",2
"Co-work Series","giúp Ban",2
"Co-work Series","kế hoạch",2
"Co-work Series Claude","giúp Ban",2
"Code","hiệu Qua",2
"Code","hỗ trợ",2
"Code","thực tế",2
"Content","Plan",2
"Content","Prompt",2
"Content","Testing",2
"Content","dữ liệu",2
"Content","giúp Ban",2
"Git","giúp Ban",2
"Hoc Claude Tu","Testing",2
"Hoc Claude Tu","Tom Tat",2
"Khoa Hoc Claude","Testing",2
"Plan","thời Gian",2
"Prompt","Workflow",2
"Prompt","dữ liệu",2
"Prompt","học Claude",2
"Prompt","khóa học",2
"Prompt","khóa học Claude",2
"Prompt","kết quả",2
"Prompt","lập kế",2
"Prompt","lập kế hoạch",2
"Prompt","thời Gian",2
"Series Claude","giúp Ban",2
"Thing Tin","dữ liệu",2
"Thing Tin","học Claude",2
"Thing Tin","khóa học",2
"Thing Tin","khóa học Claude",2
"dữ liệu","học Claude",2
"dữ liệu","khóa học",2
"dữ liệu","khóa học Claude",2
"giúp Ban","thời Gian",2
"hiệu Qua","thực tế",2
"khách Hang","khách Hing",2
"kế hoạch","kết quả",2
